"filename", "language", "JSON", "JavaScript", "Vue", "XML", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 0, 12, 30
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 2, 32
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\public\logo.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\public\trendingIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\App.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\_spinner.scss", "SCSS", 0, 0, 0, 0, 46, 0, 0, 0, 4, 50
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\facebook.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\linkedin-icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\twitter.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\icons\whatsapp.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\images\404Image.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\main.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 1, 5, 43
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\assets\tailwind.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\axios\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\AllChats.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 1, 7, 79
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\ChatHistoryComponent.vue", "Vue", 0, 0, 86, 0, 0, 0, 0, 0, 5, 91
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\CommunityComponent.vue", "Vue", 0, 0, 77, 0, 0, 0, 0, 0, 6, 83
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\MessageComponent.vue", "Vue", 0, 0, 109, 0, 0, 0, 0, 0, 10, 119
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\chats\SkeletonLoader.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\events\ActiveEvents.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\events\Spaces.vue", "Vue", 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\events\UserEvents.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\AnimatedImage.vue", "Vue", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\FeaturesComponent.vue", "Vue", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\FooterComponent.vue", "Vue", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\HeaderComponent.vue", "Vue", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\home\InfoPage.vue", "Vue", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\LogoIcon.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\ReplyIcon.vue", "Vue", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\svgs\github-icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\svgs\home-page.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\svgs\loading-icon.svg", "XML", 0, 0, 0, 26, 0, 0, 0, 1, 0, 27
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\svgs\logo.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\icons\svgs\reply-icon.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 1, 2, 17
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\market-place\Checkout.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\market-place\Commodities.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\market-place\GadgetsAndDevices.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\market-place\NFTMarketPlace.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\market-place\RealEstates.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\posts\CreatePost.vue", "Vue", 0, 0, 100, 0, 0, 0, 0, 0, 9, 109
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\posts\NewsfeedComponent.vue", "Vue", 0, 0, 143, 0, 0, 0, 0, 11, 14, 168
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\posts\SinglePost.vue", "Vue", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\reusables\ButtonComponent.vue", "Vue", 0, 0, 55, 0, 0, 0, 0, 1, 3, 59
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\components\reusables\HeaderComponent.vue", "Vue", 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\data\newsfeed.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\layouts\GeneralLayout.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\layouts\TrendingIcon.vue", "Vue", 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\main.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\plugins\index.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\config.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\router.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 6, 99
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\routes\app-route.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\routes\events.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\routes\marketplace.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\routes\settings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\routes\trends.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 7, 3, 18
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\router\views-imports.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 5, 6, 37
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\socket.io\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\stores\conversation-details.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\stores\state.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\chats\ChatHistory.vue", "Vue", 0, 0, 104, 0, 0, 0, 0, 0, 6, 110
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\chats\ChatPage.vue", "Vue", 0, 0, 168, 0, 0, 0, 0, 1, 17, 186
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\users\AllCommunities.vue", "Vue", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\users\AllUsers.vue", "Vue", 0, 0, 166, 0, 0, 0, 0, 0, 7, 173
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\users\FeatureTest.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 29, 5, 65
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\users\OwnerProfile.vue", "Vue", 0, 0, 158, 0, 0, 0, 0, 2, 14, 174
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\app\users\UserProfile.vue", "Vue", 0, 0, 79, 0, 0, 0, 0, 0, 9, 88
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\auth\ForgotPasswod.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\auth\LoginPage.vue", "Vue", 0, 0, 128, 0, 0, 0, 0, 0, 8, 136
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\auth\registrationPage.vue", "Vue", 0, 0, 209, 0, 0, 0, 0, 2, 11, 222
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\company\PrivacyPolicy.vue", "Vue", 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\company\Terms-And-Conditions.vue", "Vue", 0, 0, 53, 0, 0, 0, 0, 1, 3, 57
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\events\EventsView.vue", "Vue", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\home\homePage.vue", "Vue", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\src\views\marketplace\MarketPlace.vue", "Vue", 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\tailwind.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\test.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 1, 2, 26
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\vercel.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\HP\Documents\Mobile Files\PROGRAMMING\MY DEVs\Learning Vue\chat-application-frontend\vite.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"Total", "-", 54, 421, 2221, 54, 86, 18, 30, 66, 301, 3251